MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0.905874902,-2.313042902,-0.431629046,-0.159823512,1.274287964,0.56252541,1.383127688,-1.6554771,56.33708203
-0.454804701,1.504700097,0.711550317,0.947918603,1.087185559,-2.461786727,0.30372704,-0.520210621,-95.34034041
1.106710424,-0.59139473,-1.114532315,3.117681129,-0.204129769,-1.739205152,1.555198534,-2.274621031,-66.5872681
0.383469206,1.223604813,1.3713002,0.762622699,-1.192957601,0.818429434,-0.031967163,0.603946628,242.1982457
-0.864802337,-1.02034496,0.110587071,0.346934819,-0.615185529,1.325586313,0.55439012,-1.284964852,38.76528009
-0.514040739,-0.702423095,2.034194436,1.430035271,0.594999415,-1.002618036,-1.113657633,0.367321208,-94.61417581
0.342749974,1.987820911,-0.201858521,1.13379552,-0.948877285,-1.018570621,-0.611393931,0.889258604,-40.0563857
0.366375234,-0.89272001,-0.253993858,-0.294406433,-0.043640734,-1.33529981,-2.395222504,-1.069032802,-294.6908388
1.403509251,-0.767715504,-0.042774467,-0.887848191,-0.417879737,0.367945456,0.412188409,-1.784260698,77.10760268
-0.469171257,2.199190148,-3.055708949,1.098969996,-0.451185315,-0.282346372,0.136909991,0.795249167,-128.5551514
-0.617486311,-0.675880436,-0.812158364,0.221417062,-0.2019136,1.785029792,-0.515784068,0.051552217,-14.25529962
0.985220173,0.289451073,0.130743859,1.695363494,1.316247297,0.541050984,-1.423336795,-1.398357074,-0.846053684
-1.226179358,-0.78717407,0.681743409,-0.001714154,0.767479345,0.962502886,0.20335946,2.196646055,61.77313329
1.147743206,-1.712833525,-0.047675904,0.320528683,-0.009595214,-2.175162246,-1.381997746,-2.233695774,-274.9842006
0.979464238,0.584794316,-0.609941328,0.708162737,0.080395609,0.017695833,0.356976385,0.821873156,79.33164627
0.524325473,-0.388167412,-1.068934313,-0.91061366,-0.476398,0.747902911,0.024803038,0.780974341,34.51880059
-0.475081241,0.396460008,-0.604068745,0.64647804,0.498397799,-0.696933241,-0.7896362,0.864676507,-151.9540033
-1.181190941,1.746989698,-1.917832662,0.460958642,-0.634802683,-2.182101294,-0.569061391,0.816624743,-304.8193161
0.832268915,-0.451954836,-0.877943504,-1.509357609,0.162080539,0.680110237,-1.008651215,-0.338091045,-29.06484917
-0.064337647,0.971412358,-1.187553167,0.187459382,1.015627884,0.578909818,-1.295258621,-0.455171784,-97.87818657
1.024162327,-1.980571968,-0.587028406,-0.371712262,-1.179324798,0.149668911,-1.054985647,0.694135943,-115.420229
1.774253372,0.778794564,1.37835243,0.466756463,1.366493586,-0.688668227,3.270492357,0.579928864,404.8754782
0.624792711,-0.722490621,-2.163567497,-0.659697729,0.831938689,-1.62420277,0.252120266,-0.571591448,-248.7588304
-0.764487529,0.007569745,1.04602868,-0.324397759,0.9751521,1.297277313,-1.544087079,-0.628017853,-8.251858732
0.841491212,-0.337069058,-0.569653094,-0.189420726,-2.080427665,-0.589497013,0.083528466,0.581711493,-30.09747576
-0.486341626,1.204381582,1.862846501,1.573032971,0.776955221,-1.772915101,0.788096038,-0.906200594,24.93483072
-1.311083562,-1.318480888,1.302238097,0.592329239,-0.109873452,0.884509996,0.02666365,-0.162429863,27.28976551
-0.135392995,0.441693905,1.867531588,-0.219348436,-1.23085276,0.329115228,0.133044454,0.835700949,165.9472964
-0.192786144,-0.032447812,-0.22010373,-0.378265259,2.148781786,0.948545047,-0.084385914,2.055566129,52.67583797
-0.384174078,0.709275168,-1.298011933,1.532304058,-1.580569802,0.287868336,0.036726704,1.084504856,-51.21138259
-0.675217298,0.327546092,1.251834079,0.892850526,-0.848528163,0.066176857,1.702834835,1.128357283,149.6890194
1.637211645,-0.172041359,0.16524005,-1.615846471,-1.285599114,0.012521864,1.438169201,-1.431354847,201.6526895
0.200863555,0.434053377,-0.468963223,1.171190421,-0.262078577,0.490648044,-0.339218593,-0.174208146,-1.330336403
-2.941628472,-1.645554453,1.631991007,0.05948494,-1.590414537,-0.690421035,-1.329520958,-0.587056938,-273.9742384
0.861318534,-0.773600823,-1.977560485,0.757692166,0.251635974,0.498904133,0.449964487,-1.155067357,-35.77511681
0.719620227,0.051968866,1.733543903,2.486779357,-0.362564044,2.187999968,0.674964823,0.040070789,342.5586285
-0.978838553,-1.228957114,0.791139232,0.081889084,-0.407533796,-0.305731912,-0.62566596,-1.424293205,-122.4548267
0.816863658,-0.246683193,-0.750442498,1.157304726,0.714038988,1.254444413,0.290909524,0.281291817,107.6098253
2.405085763,0.629830635,0.161697879,-0.217667248,0.544473197,-0.024558156,1.937154191,1.31910935,328.5822744
-0.784162742,-0.258800864,1.671659437,0.798568127,0.296772507,1.070882292,0.361252283,-2.546005065,109.0549643
0.266975783,0.207920067,1.491166404,-0.6900126,-2.124027076,-0.300535985,0.985948383,1.678573964,181.86659
0.516540472,-2.90230485,-0.472772325,0.406012958,-0.827350511,-0.307418661,-0.471056266,1.752022995,-134.0656362
0.010067009,-1.125870827,-0.879136093,0.751090543,0.58645313,-1.918589424,1.60740455,1.698458702,-92.82617328
1.237664499,1.009533067,2.955533101,-0.736788279,-2.049898281,0.291417921,0.430418983,0.882082138,375.0353071
0.73871183,-0.034020674,0.632981996,0.140443178,1.391647746,-0.582385482,-0.16131673,-0.574183039,27.8564174
0.753912065,-1.605633403,-0.7602624,0.885470583,-0.703833258,0.869762058,-0.076048908,0.507879845,4.186028924
-1.448849183,0.428558121,0.656939816,-0.712806468,-0.390920041,-0.056936496,0.456038008,2.082705782,3.774208914
0.392907359,-0.492654853,-1.136336223,-1.160020382,0.519436623,0.587042424,1.68397203,-0.024171426,118.5510685
1.616437901,-0.04700455,0.640187822,-1.908183275,0.762215944,-0.94793529,-1.082528146,-1.17925457,-49.12304099
1.152232176,2.006432881,-0.573542994,-1.242210441,-1.457429832,-2.140889479,-0.084378948,1.540922147,-52.23608248
0.416836575,0.599278921,-0.024743379,1.21175584,1.108882283,1.099715088,0.047386316,0.493733152,109.695688
-1.269190692,0.501201347,1.364875601,0.475852049,-1.651052172,-0.215232919,3.042841572,1.552746033,219.2419323
1.078931389,0.063419136,-0.551302236,-0.455328317,0.595278502,-0.53813504,0.651351069,0.453862026,37.74127457
0.142400979,-1.266536731,0.204673371,1.363508849,-1.160093848,2.758453199,-1.492222936,0.774250457,50.46414519
0.556738543,0.013140757,0.991303613,1.23381473,0.939398379,0.239106546,-0.1865357,-0.495297046,120.1818755
-0.491653601,1.243376139,-1.92046417,1.585362405,3.009862196,0.850603657,1.391720313,0.383095028,54.16730835
0.756063878,-0.923159682,0.874635349,0.093821063,0.457669801,0.841028742,-1.595826643,1.685347266,54.06817365
0.29906581,-0.899076401,0.550575803,-0.578620234,-0.59950282,1.201992947,-0.586427598,-1.190682358,69.79154318
0.243911077,-0.056595162,0.878591438,0.338746283,1.309210704,-1.408044357,0.313498484,-1.331090748,4.726066738
1.060455228,1.038144705,0.777937158,1.020330665,1.104284111,0.973718791,-0.255670192,-1.156970837,179.7793298
-0.13368842,0.058609364,-1.1817471,0.884802973,-0.424118015,-1.324002489,-1.178075579,0.641152599,-237.6310718
0.214439933,1.616695606,-0.385018983,-0.648500297,1.725718788,1.105273127,-1.956033044,-0.235702791,-19.94808597
-0.097896268,0.986908046,0.03050793,0.865762179,-1.670070313,-0.477722553,-0.373388736,-0.04752024,-15.4916878
0.469315345,-0.692051674,-0.937991943,0.470320511,-1.639842424,-0.196683631,-1.284310351,-0.337890466,-175.3667964
-0.686492131,-0.88171595,0.138005913,-0.323403931,-0.40717795,-0.451496235,0.534163266,0.549133705,-30.14885331
-2.628184059,0.923927015,-0.141292456,-2.206720986,-0.56397516,-0.143635737,1.144814567,0.050255186,-72.11327908
1.238146094,-0.287934991,-0.549859078,1.324554962,-0.45808318,0.839015911,0.017200592,-1.105567085,91.25645847
0.319993819,1.036345009,-0.23362498,0.168608807,-0.120406954,-0.471829624,0.248785937,-1.69418995,-5.770259198
-0.580826293,1.231344842,0.550994888,-0.898869098,0.134854017,-0.220785397,0.729525612,1.487281733,109.2418379
0.915935247,0.488371112,-0.355231027,-0.457651186,0.628246068,0.464790939,-0.674566557,-1.749463168,45.60688045
0.224987061,1.021669024,0.244726734,-1.567465543,-0.351458365,-2.234014397,-0.268338454,-1.043146882,-141.9140797
-0.262746748,0.507020272,-1.395448505,0.652330338,-0.739028658,-0.707910941,-0.057395365,-1.595893969,-161.5853395
-0.51007614,-1.478907002,1.629232538,-0.747883852,0.832183733,1.052179831,1.87091399,-2.07855933,183.4319526
0.703603868,-0.235444458,-0.837074987,-0.323529062,-0.080724938,-0.812994659,-0.262427596,-1.759702599,-113.6618663
0.296775019,-1.588340046,-0.325940801,0.886953808,1.025316063,-0.228098236,-0.496841755,-1.348249458,-141.6127868
1.506012721,1.306098713,-0.176754182,-0.218680615,-0.168795412,-0.897952052,2.070458315,1.890382903,261.7178059
0.908994418,-0.465482192,1.166884705,0.592635074,-0.557424672,0.284674053,0.278597563,-1.210886398,138.5161764
0.027480653,1.456141904,-0.770647126,-0.644955547,1.069994415,-0.185133453,1.01850343,-0.93522598,54.84031095
0.969237864,0.349325847,-0.571676574,0.214736921,0.986074152,0.775288131,-1.245590497,-0.651826231,-7.09519524
-0.298435296,-0.381125899,-1.30817411,-1.49347716,-1.900470279,-1.149295605,0.688017721,-1.365603703,-166.8756782
-1.815054599,0.253695286,0.998082163,-2.602168803,0.446436005,1.071083842,0.030020134,-0.14597576,27.85736819
2.510606562,-0.012544993,-0.461849925,0.528803491,0.716611203,0.887907829,0.008378334,0.115853114,216.3684451
-0.570421448,-1.316497046,0.201942212,-0.0344963,-0.608491494,-1.060152448,-2.709875282,-0.319873544,-352.8383796
-0.464941475,1.962604359,0.251278395,-0.138083151,0.19079435,0.872948992,1.094131676,0.146320661,187.0783866
0.869959269,-0.039296543,-0.138581983,1.352271138,-1.432601637,0.362092737,-1.34165212,0.248956739,-30.67143253
-0.119495773,1.605225774,2.101077084,-0.319498599,-0.655745155,1.301688671,0.126195533,0.584991121,258.0635023
